Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
4,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,search,mobile_app,4,4,,0.04,,,0,,40,0,4
12,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,messenger,messenger_stories,mobile_app,22,22,,3.98,0.24,1,1,0.24,2466.67,50,12
21,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_explore,mobile_app,52,52,,1.43,0.06,1,1,0.06,542.67,33.33,21
21,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,desktop,47,49,,2.06,0.21,2,2,0.21,880.9,83.33,21.58
22,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,desktop,172,257,,4.5,,,0,,388.2,0,33.68
23,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instant_article,mobile_app,210,250,,9.52,2.46,6,12,3.62,859.71,103.63,29.13
24,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,desktop,335,689,,14.5,4.46,7,7,4.46,450.69,13.02,45.57
25,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_stories,mobile_app,202,203,,12.6,3.11,3,3,3.11,1378.11,22.98,25.08
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,desktop,85,94,,1.4,0.3,1,1,0.3,388.2,16.67,30.43
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,facebook_stories,mobile_app,834,841,,56.29,28.07,28,28,28.07,1781.41,72.15,28.18
31,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_web,1766,2007,,136.05,26.47,14,62,52.35,1806.71,66.17,35.86
33,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,mobile_app,345,401,,20.71,6.84,8,8,6.84,1557.8,44.94,36.93
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,mobile_app,4629,6243,,293.04,51,153,152,51.07,1663.98,51.88,48.24
36,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,mobile_app,9440,14254,,623.29,46.72,291,291,46.72,1568.61,43.24,56.77
39,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,mobile_app,1069,1094,,58.89,30.6,36,36,30.6,2480.98,86.44,39.45
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,feed,mobile_app,1885,1914,,113.71,48.49,37,37,48.49,2261.05,43.8,41.59
42,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,video_feeds,mobile_app,5331,5713,,244.62,63.16,130,207,36.25,1966.03,168.54,44.98
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_app,47403,55520,,3586.78,72.54,1552,2252,55.8,3100.65,171.89,49.68
44,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,desktop,10859,12157,,693.74,117.74,182,260,93.1,3364.48,179.11,48.52
1,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,search,mobile_app,1,1,,0,,,0,,0,0,1
12,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,messenger,messenger_stories,mobile_app,29,31,,3.33,0.05,1,1,0.05,1815.18,50,13.2
23,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,desktop,97,107,,3.07,0.19,1,1,0.19,617.5,9.09,23.25
26,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,desktop,176,244,,4.13,0.57,2,2,0.57,516.61,15.46,35.47
27,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_explore,mobile_app,88,90,,1.29,,,0,,382.33,0,27.44
30,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,desktop,231,400,,8.64,1.54,5,5,1.54,700.98,46.51,51.24
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instant_article,mobile_app,167,190,,7.31,2.59,4,7,2.21,1235.37,69.92,35.68
33,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,instagram_stories,mobile_app,243,251,,17.69,4.37,4,5,5.01,2076.01,40.12,33.63
34,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_web,1644,1769,,105.43,41.94,23,64,41.26,1939.93,98.58,36.23
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,facebook_stories,mobile_app,1127,1131,,57.31,23.1,14,14,23.1,1620.59,44.47,35.22
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,mobile_app,2175,2517,,121.25,37.37,48,53,35.93,1682.83,45.37,40.39
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
37,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,marketplace,desktop,366,415,,2.13,0.29,2,2,0.29,223.2,11.54,38.36
38,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,instream_video,mobile_app,848,889,,49.52,27.2,35,35,27.2,2779.75,239.92,39.84
38,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,an_classic,mobile_app,8110,12247,,442.44,77.29,171,169,78.03,1243.89,38.55,55.98
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,mobile_app,58367,64780,,3361.72,88.77,1397,2156,61.07,2263.72,136.78,43.35
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,feed,desktop,9260,10010,,431.47,95.07,107,146,68.71,1973.88,38.05,42.59
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,instagram,feed,mobile_app,4673,4751,,226.51,90.31,51,57,83.28,1683.43,34.53,40.5
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,facebook,video_feeds,mobile_app,5365,5703,,216.17,63.48,106,153,53.17,1500.77,99.1,42.38
40,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,7,2021,audience_network,rewarded_video,mobile_app,2924,3880,,168.38,52.17,76,75,52.71,1579.58,78.8,53.63
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,instant_article,mobile_app,8,9,,0.07,,,0,,7.78,0,1.13
1,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,1,1,,0.11,,,0,,110,0,1
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,7,7,,0.14,,,0,,20,0,1
1,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,facebook_stories,mobile_app,25,25,,1.28,,,0,,51.2,0,1
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,198,204,,9.57,4.49,2,2,4.49,83.26,1.07,2.03
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,an_classic,mobile_app,131,172,,3.5,3.25,1,1,3.25,36.46,0.64,2.75
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,instream_video,mobile_app,26,26,,0.97,,,0,,66.39,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_web,66,74,,3.47,1.4,2,5,0.56,127.27,7.58,2.14
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,75,77,,3.11,,,0,,80.29,0,2.05
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,9,12,,0.21,,,0,,55.45,0,2.38
2,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,2,2,,0.18,,,0,,180,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,149,153,,3.81,1.53,2,4,1.77,45.04,4.88,2.05
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,marketplace,desktop,22,23,,0.05,,,0,,4.17,0,2.1
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,mobile_app,23,28,,0.81,,,0,,40,0,2.53
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,3,3,,0.06,,,0,,35,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,marketplace,mobile_app,45,45,,1.01,,,0,,51.9,0,2
2,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,2382,2516,,105.38,3.72,56,93,2.06,85.78,8.71,2.08
3,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,search,mobile_app,0,3,,0.06,,,0,,60,0,0
3,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,4,4,,0.29,,,0,,175,0,3
3,CGM_APTIVA,Abbott Laboratory,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
5,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
6,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,9,9,,0.13,,,0,,75,0,6
14,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,81,82,,4.66,0.02,1,1,0.02,661.98,50,14.03
16,CGM_APTIVA,Cure Type 1 Diabetes,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,698,710,,29.29,11.43,5,5,11.43,621.28,15.53,16.3
28,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,messenger,messenger_stories,mobile_app,100,105,,12.55,3.58,4,4,3.58,3057.02,132.9,29.17
32,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,desktop,132,148,,3.88,,,0,,748.41,0,35.78
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,94,100,,1.64,0.05,1,2,0.03,824.93,200,33.3
35,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,511,705,,13.37,1.16,2,2,1.16,535.5,101.61,48.36
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,386,424,,23.73,7.58,7,8,7.46,2209.63,65.25,44.66
41,CGM_APTIVA,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,343,592,,20.1,3.34,5,5,3.34,1260.06,34.56,77.99
